ORIGIN,FL_DATE,temperature_max,precipitation_mm,windspeed_max_kmh
ATL,2021-06-11,27.5,10.4,19.3
ORD,2021-06-08,29.4,6.0,9.3
DFW,2021-06-01,24.4,0.9,19.4
SEA,2021-06-26,34.5,0.0,14.4
PHX,2022-06-10,44.5,0.0,20.8
SEA,2019-06-10,22.3,0.0,19.1
LAX,2021-06-17,27.0,0.0,19.2
ORD,2019-06-06,19.7,0.0,11.6
SEA,2021-06-13,18.5,30.0,9.9
DEN,2021-06-03,26.0,0.0,13.7
LAX,2023-06-19,21.0,0.0,17.6
ORD,2022-06-05,22.6,1.6,12.2
LAX,2021-06-24,20.2,0.0,32.5
DFW,2020-06-24,29.8,0.1,12.2
ATL,2019-06-05,29.1,1.1,12.7
SEA,2019-06-16,24.2,0.0,12.6
SEA,2021-06-20,24.2,0.0,19.5
MCO,2021-06-26,27.4,10.1,15.4
LAS,2019-06-16,38.0,0.0,26.8
PHX,2023-06-14,36.8,0.0,19.6
LAS,2021-06-07,35.8,0.0,27.1
ATL,2022-06-24,31.6,14.8,19.5
ORD,2019-06-10,22.7,0.3,23.7
PHX,2022-06-07,41.5,0.0,18.7
ATL,2021-06-16,29.2,0.0,16.3
ATL,2021-06-28,29.6,0.3,13.3
ORD,2022-06-17,28.8,0.0,18.6
LAS,2020-06-01,38.0,0.0,25.2
DFW,2019-06-10,26.9,0.0,25.6
LAX,2023-06-05,19.0,0.0,19.1
SEA,2020-06-15,14.7,12.9,18.3
DFW,2023-06-06,31.5,3.1,21.9
MCO,2022-06-10,31.1,18.3,20.7
ATL,2022-06-08,29.0,26.1,24.5
SEA,2022-06-19,18.2,0.1,12.5
DEN,2023-06-01,20.5,5.7,17.7
DEN,2021-06-24,27.1,2.6,21.4
MCO,2023-06-10,31.7,17.3,16.5
CLT,2020-06-21,31.1,0.1,8.8
DEN,2023-06-26,31.3,0.0,23.8
LAX,2019-06-13,20.2,0.0,23.6
ATL,2021-06-10,28.4,7.6,18.7
DFW,2020-06-10,31.8,0.0,28.3
CLT,2023-06-07,28.4,2.6,16.2
CLT,2019-06-06,26.6,1.2,16.6
LAS,2019-06-13,40.7,0.0,33.7
ORD,2020-06-25,27.4,0.1,11.9
DFW,2022-06-22,36.2,0.0,14.5
ORD,2020-06-26,29.9,8.9,21.1
SEA,2023-06-12,25.1,0.0,15.6
DFW,2021-06-16,34.0,0.0,9.7
CLT,2020-06-14,27.4,0.0,13.5
PHX,2021-06-05,41.7,0.0,26.9
ORD,2022-06-15,33.9,0.0,31.2
LAS,2020-06-19,36.7,0.0,22.0
PHX,2021-06-03,40.5,0.0,24.2
PHX,2022-06-24,42.0,0.0,26.6
CLT,2021-06-28,33.7,0.1,22.7
LAX,2021-06-23,21.7,0.0,34.0
ORD,2021-06-01,24.2,0.0,12.9
CLT,2022-06-20,31.5,0.0,12.3
ATL,2022-06-25,33.2,0.0,17.5
SEA,2023-06-15,21.2,0.0,11.7
DEN,2023-06-13,17.2,4.1,13.1
ORD,2019-06-16,17.6,6.6,16.1
ATL,2022-06-23,35.3,1.0,16.6
SEA,2019-06-30,23.5,0.0,16.4
LAS,2019-06-28,39.0,0.0,26.3
CLT,2021-06-16,31.3,0.0,17.0
DEN,2019-06-13,28.7,0.0,23.3
ORD,2019-06-26,29.5,1.4,14.5
DFW,2022-06-18,32.6,5.3,18.8
LAS,2019-06-27,37.2,0.0,26.5
DFW,2020-06-17,35.2,0.0,21.9
ATL,2019-06-26,30.0,0.0,14.8
ATL,2023-06-17,30.2,0.0,18.0
ORD,2019-06-29,29.1,0.5,9.9
DFW,2023-06-19,35.2,4.8,18.2
PHX,2019-06-18,39.2,0.0,23.4
DFW,2022-06-19,36.0,3.9,21.5
DFW,2019-06-26,29.4,4.0,24.5
DFW,2023-06-20,35.8,4.9,26.0
ATL,2022-06-20,31.9,0.0,8.9
DEN,2019-06-20,28.0,0.0,30.5
CLT,2019-06-17,31.8,1.2,13.8
SEA,2023-06-24,22.3,0.0,15.9
ATL,2022-06-19,30.4,0.0,19.1
PHX,2023-06-07,34.8,0.0,19.4
PHX,2019-06-09,39.9,0.0,14.6
ORD,2019-06-11,25.0,0.0,13.8
ATL,2023-06-03,31.1,0.0,19.0
MCO,2022-06-18,35.2,1.9,19.3
LAS,2023-06-09,33.6,0.0,17.4
ATL,2021-06-13,29.0,3.5,10.0
MCO,2020-06-23,32.2,5.9,14.1
ATL,2023-06-04,29.5,1.3,16.3
CLT,2023-06-11,29.0,3.5,18.3
LAX,2022-06-08,22.6,0.0,25.7
SEA,2023-06-30,25.6,0.0,15.6
DEN,2019-06-22,18.8,17.1,22.3
LAS,2022-06-29,41.4,0.0,30.3
DEN,2023-06-30,20.1,9.7,26.3
DEN,2019-06-18,18.6,4.0,10.6
ATL,2022-06-09,28.5,0.7,18.4
ATL,2023-06-10,30.3,0.0,11.7
CLT,2021-06-17,30.5,0.0,15.5
ORD,2022-06-09,24.8,0.0,19.6
ATL,2019-06-23,28.4,2.2,16.3
DFW,2023-06-12,31.5,1.8,25.4
DFW,2023-06-05,29.2,0.7,14.8
DFW,2023-06-15,33.2,25.5,30.2
ATL,2020-06-26,28.8,0.0,20.4
ATL,2023-06-26,32.2,0.1,22.1
DFW,2022-06-11,39.3,0.0,24.1
ORD,2022-06-06,27.0,17.5,14.8
ORD,2022-06-04,21.0,0.0,11.9
DEN,2022-06-26,22.8,0.8,19.8
PHX,2023-06-10,37.8,0.0,23.8
DFW,2023-06-26,39.0,0.6,21.6
CLT,2019-06-20,30.4,0.7,25.9
PHX,2022-06-08,43.2,0.0,21.5
ORD,2021-06-14,28.0,0.0,22.6
ORD,2019-06-24,23.6,9.2,23.1
DFW,2023-06-03,28.6,30.8,18.3
DEN,2022-06-21,25.7,0.0,29.8
ORD,2019-06-12,20.5,9.5,20.8
ORD,2019-06-20,19.1,11.1,19.8
ATL,2019-06-07,27.8,16.6,20.5
ORD,2021-06-28,25.6,16.3,10.0
DFW,2023-06-24,37.0,0.0,27.1
PHX,2023-06-15,36.7,0.0,18.3
CLT,2019-06-07,24.0,13.2,15.3
LAX,2022-06-30,24.5,0.0,25.3
DEN,2019-06-29,32.2,0.0,17.4
DFW,2019-06-22,31.5,21.7,26.7
MCO,2020-06-11,30.2,10.9,14.8
DEN,2021-06-08,34.2,0.0,31.1
ATL,2020-06-28,30.9,2.0,18.9
LAS,2022-06-04,35.1,0.0,32.8
ORD,2019-06-18,24.0,0.0,11.3
ORD,2019-06-09,21.9,11.4,12.3
ATL,2022-06-02,31.1,10.4,10.5
DEN,2023-06-15,21.4,5.7,21.8
ORD,2023-06-26,25.0,2.3,23.7
MCO,2019-06-25,34.8,0.0,12.0
PHX,2021-06-17,46.6,0.0,16.9
LAX,2019-06-04,19.4,0.0,23.1
MCO,2021-06-10,33.8,0.1,11.3
LAS,2023-06-12,29.2,0.3,22.3
LAS,2023-06-13,33.5,0.0,19.1
LAS,2022-06-19,30.0,0.0,29.8
CLT,2023-06-27,30.0,0.2,13.5
DEN,2019-06-17,21.8,1.0,12.4
PHX,2019-06-02,34.9,0.0,24.6
LAX,2020-06-18,21.8,0.0,19.9
ORD,2021-06-07,26.1,18.4,16.2
DEN,2021-06-17,36.6,0.0,26.1
PHX,2023-06-12,32.7,0.0,20.9
MCO,2022-06-19,33.5,9.0,13.5
CLT,2023-06-03,30.9,2.3,20.7
LAS,2023-06-14,34.7,0.2,35.8
ATL,2020-06-08,29.0,2.5,19.4
CLT,2023-06-25,30.9,0.0,14.1
SEA,2022-06-06,17.0,0.0,11.3
DFW,2022-06-06,34.8,0.0,25.5
LAS,2023-06-06,33.1,0.0,24.2
ATL,2021-06-01,27.3,0.0,17.8
ATL,2022-06-16,34.5,2.0,21.4
ORD,2023-06-29,31.2,22.9,19.7
DEN,2021-06-19,30.6,0.0,24.5
PHX,2023-06-19,39.2,0.0,24.3
ATL,2023-06-13,28.0,0.0,23.9
MCO,2020-06-27,34.5,0.0,10.7
SEA,2021-06-24,25.5,0.0,14.1
LAX,2019-06-25,19.4,0.1,17.3
SEA,2021-06-28,39.0,0.0,20.8
ORD,2019-06-21,21.6,1.2,14.5
DEN,2022-06-27,29.0,0.0,15.8
SEA,2023-06-02,21.6,0.0,14.0
DEN,2021-06-12,33.0,0.0,29.3
ATL,2023-06-30,32.4,0.2,13.9
ATL,2023-06-21,23.5,12.8,21.7
DFW,2023-06-18,32.7,30.7,21.3
PHX,2019-06-13,43.3,0.0,17.4
LAX,2021-06-01,19.0,0.0,26.1
ORD,2023-06-30,33.6,1.3,11.5
DEN,2023-06-25,27.5,0.0,19.8
MCO,2019-06-27,33.1,0.1,15.3
SEA,2020-06-27,18.6,4.6,23.8
LAX,2022-06-04,22.4,0.0,30.3
LAX,2021-06-27,24.0,0.0,20.0
ATL,2019-06-11,27.0,9.7,20.9
PHX,2021-06-30,39.5,0.0,29.9
LAX,2019-06-07,19.5,0.0,23.7
CLT,2021-06-01,27.6,0.0,9.4
LAS,2021-06-23,35.5,0.0,30.4
ORD,2019-06-08,22.5,0.0,16.5
DFW,2019-06-25,31.6,0.0,23.8
ORD,2021-06-26,26.6,21.7,33.8
MCO,2022-06-13,32.5,6.5,9.6
CLT,2023-06-22,24.0,24.3,16.1
DEN,2020-06-25,30.5,0.1,21.0
ORD,2023-06-01,31.9,0.4,16.4
SEA,2023-06-16,21.5,2.3,19.8
ATL,2020-06-03,29.9,0.3,11.3
LAX,2022-06-09,23.6,0.0,22.5
DFW,2023-06-29,38.9,0.0,24.0
ORD,2021-06-09,28.8,5.5,13.6
PHX,2021-06-13,45.1,0.0,23.4
ORD,2023-06-27,24.1,0.0,16.1
ATL,2019-06-09,25.4,15.7,14.3
ATL,2023-06-08,29.1,0.0,16.8
PHX,2023-06-27,41.3,0.0,19.8
MCO,2022-06-12,31.4,5.8,19.0
DFW,2021-06-03,26.5,0.4,11.0
DFW,2019-06-21,34.0,0.2,28.8
LAS,2022-06-09,42.0,0.0,28.4
ATL,2021-06-23,27.5,0.0,12.2
CLT,2022-06-21,34.2,0.0,7.9
ATL,2019-06-30,28.8,3.5,11.2
SEA,2023-06-27,24.5,0.0,15.1
ATL,2021-06-18,33.0,0.0,11.3
LAX,2022-06-17,21.9,0.0,29.9
PHX,2019-06-17,39.5,0.0,29.5
SEA,2020-06-16,16.5,2.1,15.5
DFW,2019-06-08,31.9,0.0,9.2
ATL,2023-06-24,29.4,0.1,19.4
ORD,2021-06-05,33.2,0.0,22.7
CLT,2021-06-20,27.9,14.2,16.4
CLT,2021-06-23,25.4,0.1,13.3
PHX,2022-06-09,42.8,0.0,24.0
CLT,2022-06-03,29.9,5.8,23.4
ORD,2022-06-13,29.0,4.9,24.2
LAS,2021-06-25,38.2,0.0,16.0
ORD,2020-06-28,27.5,16.4,11.6
CLT,2019-06-16,31.0,0.0,15.3
DFW,2022-06-30,36.5,0.3,26.7
LAS,2023-06-28,36.9,0.0,24.7
DFW,2020-06-23,26.9,29.8,20.3
MCO,2023-06-28,33.5,5.2,15.6
DFW,2022-06-20,38.0,0.1,17.6
DFW,2023-06-13,27.0,3.8,15.3
LAS,2023-06-18,37.0,0.0,34.6
ATL,2021-06-26,27.9,0.9,12.6
SEA,2020-06-04,18.8,0.4,14.4
PHX,2020-06-21,41.6,0.0,20.9
DFW,2020-06-26,30.8,1.2,30.3
CLT,2020-06-24,28.8,0.2,15.0
ORD,2022-06-16,32.8,0.1,31.1
LAX,2021-06-06,20.1,0.0,19.7
DEN,2022-06-07,26.0,0.3,30.8
DFW,2019-06-23,30.4,43.5,30.8
LAX,2022-06-29,26.8,0.0,20.2
DFW,2021-06-12,33.5,0.3,25.6
CLT,2022-06-27,32.0,8.9,13.7
DEN,2022-06-05,27.0,0.0,16.7
ORD,2021-06-21,22.6,4.6,24.7
LAX,2020-06-09,30.2,0.0,33.0
ORD,2022-06-22,32.0,0.0,19.9
ORD,2021-06-29,27.6,20.6,17.2
DFW,2019-06-07,28.8,0.3,18.0
ATL,2022-06-05,28.6,0.0,17.6
DEN,2021-06-15,36.7,0.0,26.2
ATL,2019-06-19,28.0,3.6,16.9
LAS,2023-06-10,34.0,0.0,21.4
DEN,2019-06-19,25.0,0.7,18.1
ATL,2021-06-09,28.8,2.7,16.7
LAX,2020-06-16,21.4,0.0,24.2
DFW,2021-06-26,34.8,0.1,28.6
LAX,2022-06-06,23.2,0.0,24.0
CLT,2023-06-06,30.6,2.3,12.5
ATL,2019-06-13,24.9,0.0,20.0
CLT,2020-06-09,30.9,1.0,18.0
CLT,2022-06-18,33.9,0.0,22.4
CLT,2022-06-30,31.2,0.0,19.4
LAS,2020-06-24,41.7,0.0,24.7
DEN,2022-06-29,33.8,0.7,35.3
LAS,2019-06-26,36.9,0.0,28.0
DFW,2021-06-22,29.0,3.7,17.1
PHX,2022-06-20,39.5,0.0,14.8
DFW,2019-06-06,29.6,0.2,18.8
MCO,2020-06-06,26.9,17.1,16.1
LAS,2023-06-21,35.2,0.0,24.5
PHX,2021-06-18,46.4,0.0,17.0
ATL,2022-06-04,28.8,0.0,18.7
ORD,2022-06-21,35.9,0.0,23.1
LAX,2023-06-02,18.6,0.0,28.2
LAX,2023-06-26,20.5,0.0,25.1
CLT,2020-06-04,30.8,0.1,23.0
DFW,2021-06-08,31.1,0.5,26.5
DFW,2019-06-02,28.7,0.1,16.9
CLT,2019-06-14,23.9,0.0,12.0
CLT,2021-06-03,28.5,3.8,17.0
MCO,2023-06-15,34.9,6.2,19.0
SEA,2020-06-18,21.5,0.0,14.4
DFW,2020-06-06,34.9,0.0,19.9
DFW,2020-06-15,33.2,0.0,17.8
DEN,2020-06-26,26.2,1.3,20.2
LAX,2023-06-06,19.0,0.2,19.6
MCO,2022-06-15,34.6,2.5,13.4
PHX,2021-06-27,44.2,0.0,15.8
LAS,2019-06-03,33.5,0.0,14.4
ORD,2022-06-07,19.5,0.2,14.5
DFW,2019-06-28,32.7,0.0,21.8
ATL,2019-06-04,29.9,0.0,17.2
DFW,2023-06-16,35.3,0.3,27.4
SEA,2020-06-13,14.8,5.8,23.4
CLT,2021-06-22,26.1,5.9,21.4
DFW,2019-06-05,26.9,12.5,19.3
ATL,2021-06-24,25.4,2.5,17.3
DFW,2021-06-11,32.2,0.4,25.6
MCO,2022-06-23,36.2,0.5,12.2
CLT,2022-06-29,31.2,4.8,12.6
MCO,2021-06-02,30.0,5.2,17.7
DFW,2021-06-09,31.9,0.3,23.3
ORD,2019-06-14,23.9,0.1,27.1
LAX,2022-06-07,22.4,0.0,25.6
LAX,2019-06-28,22.3,0.0,22.9
DEN,2022-06-23,32.4,0.0,26.2
DEN,2023-06-07,24.0,7.8,18.4
PHX,2023-06-23,37.2,0.0,18.0
SEA,2019-06-14,21.7,0.0,16.0
PHX,2022-06-27,38.8,0.7,18.4
ATL,2019-06-21,32.0,0.4,16.6
ATL,2019-06-27,30.6,0.0,11.4
MCO,2019-06-15,29.5,3.3,13.0
DFW,2023-06-30,37.0,0.0,21.6
PHX,2019-06-14,39.8,0.0,22.6
MCO,2019-06-08,31.1,36.6,15.2
DEN,2021-06-10,36.0,0.0,31.2
ORD,2021-06-11,33.3,1.3,9.7
ORD,2022-06-26,26.9,0.0,21.9
CLT,2022-06-12,34.9,0.1,14.6
LAX,2023-06-12,19.4,0.8,25.3
MCO,2022-06-11,28.9,24.8,16.4
CLT,2022-06-05,29.5,0.0,15.9
PHX,2023-06-06,37.3,0.0,27.0
LAX,2022-06-21,26.1,0.0,19.1
CLT,2023-06-05,25.8,0.0,9.9
MCO,2019-06-23,32.3,0.5,16.3
DFW,2021-06-25,35.3,0.0,27.4
DFW,2023-06-01,31.5,0.8,19.3
DEN,2023-06-09,23.5,2.0,17.3
DEN,2023-06-04,16.8,29.4,15.3
LAX,2021-06-25,21.5,0.0,26.8
DEN,2023-06-18,28.0,0.0,20.8
CLT,2023-06-16,32.0,0.0,16.5
DEN,2019-06-07,29.0,0.7,25.3
ORD,2021-06-25,26.6,42.2,24.3
LAX,2020-06-14,23.0,0.0,23.8
ORD,2023-06-16,19.1,0.0,16.7
CLT,2021-06-09,29.8,0.2,17.1
LAS,2019-06-08,32.1,0.0,36.7
DEN,2022-06-22,29.0,0.0,26.3
DEN,2020-06-17,34.5,0.0,35.1
PHX,2019-06-05,38.2,0.0,21.6
DEN,2020-06-28,31.3,0.0,20.4
SEA,2023-06-18,15.4,7.0,18.9
ATL,2023-06-14,22.5,21.6,29.0
LAS,2022-06-12,41.2,0.0,41.2
SEA,2020-06-29,23.6,0.0,21.2
LAS,2023-06-23,32.5,0.0,36.8
LAS,2021-06-18,44.5,0.0,32.6
DEN,2019-06-26,30.4,0.0,23.1
LAX,2020-06-21,20.1,0.2,23.0
